stadium,country,capacity,avg_ticket_price_usd,home_team,league,continent
Camp Nou,Spain,99354.00,65.00,FC Barcelona,La Liga,Europe
Wembley Stadium,England,90000.00,85.00,England NT,UEFA,Europe
Maracanã,Brazil,78838.00,25.00,Brazil NT,CONMEBOL,South America
Santiago Bernabéu,Spain,81044.00,95.00,Real Madrid,La Liga,Europe
Estadio Azteca,Mexico,87523.00,30.00,Club América,Liga MX,North America
Lusail Stadium,Qatar,88966.00,150.00,Qatar NT,AFC,Asia
Estadio Monumental,Argentina,83200.00,10.00,River Plate,CONMEBOL,South America
La Bombonera,Argentina,54000.00,20.00,Boca Juniors,Primera División,South America
Mineirão,Brazil,61800.00,12.00,Cruzeiro,Serie A,South America
Estadio Centenario,Uruguay,60000.00,10.00,Peñarol / Nacional,Primera División,South America
Estadio Nacional,Chile,48000.00,12.00,Chile NT,N/A,South America
Estadio Mario Kempes,Argentina,57000.00,14.00,Talleres,Primera División,South America
Castelão,Brazil,63000.00,9.00,Fortaleza EC,Serie A,South America
Estadio Metropolitano,Colombia,46700.00,13.00,Atlético Junior,Categoría Primera A,South America
Estadio Nacional del Perú,Peru,50000.00,11.00,Peru NT,N/A,South America
